,temp,D2_1,D2_2,D2_3,D2_4,D2_5
0,68.0,6.1521739130434785,5.164383561643835,5.887499999999999,5.136363636363637,5.067669172932331
1,77.0,5.4,4.556962025316456,5.125,4.508333333333334,4.448275862068966
2,86.0,4.777777777777778,4.0,4.479166666666667,3.9389312977099236,3.8987341772151898
3,90.0,4.517857142857142,3.797752808988764,4.262626262626262,3.7481481481481476,3.7055214723926384
4,95.0,4.169491525423729,3.526881720430107,3.9805825242718442,3.4893617021276597,3.426900584795322
5,104.0,3.9491525423728815,3.3085106382978724,3.7403846153846154,3.2887323943661975,3.2196531791907517
