,temp,D3_1,D3_2
0,5.0,2.381818181818182,2.158536585365854
1,14.0,2.8070175438596494,2.5
2,23.0,3.1333333333333333,2.78021978021978
3,32.0,3.428571428571429,3.0631578947368423
4,43.0,4.027397260273973,3.567567567567567
5,50.0,4.223684210526316,3.789473684210527
6,64.0,4.617283950617284,4.122950819672131
