,temp,D2_1,D2_2,D2_3,D2_4,D2_5
0,5.0,3.019230769230769,2.953125,2.7126436781609193,2.504424778761062,2.273972602739726
1,14.0,3.472727272727272,3.417910447761194,3.119565217391304,2.8907563025210083,2.623376623376623
2,23.0,3.947368421052632,3.802816901408451,3.510416666666667,3.2580645161290325,2.950310559006211
3,32.0,4.053333333333334,3.9673913043478257,3.6479999999999997,3.355828220858896,3.0619047619047617
4,43.0,4.455696202531645,4.350515463917525,4.0,3.7017543859649122,3.3665158371040724
5,50.0,4.682926829268292,4.6,4.235294117647058,3.898305084745763,3.557017543859649
