,temp,D4_1,D4_2,D4_3
0,-13.0,1.25,1.4301675977653632,1.436123348017621
1,-4.0,1.6289308176100628,1.868131868131868,1.8701298701298703
2,5.0,1.9753086419753085,2.258064516129032,2.266949152542373
3,14.0,2.1707317073170733,2.519553072625698,2.4638297872340424
4,23.0,2.355421686746988,2.802325581395349,2.6623931623931627
5,32.0,2.5416666666666665,3.1090909090909093,2.875
6,43.0,2.7647058823529416,3.5256410256410255,3.116883116883117
7,60.0,2.9398907103825134,3.9761904761904763,3.51004016064257
