,temp,D3_1,D3_2
0,50.0,6.019607843137255,7.018181818181818
1,68.0,4.492063492063492,4.511904761904762
2,86.0,3.44,3.46
3,95.0,3.0370370370370368,3.0555555555555554
4,104.0,2.67816091954023,2.6982758620689657
5,115.0,2.305263157894737,2.41025641025641
