,total_ec,total_elec_ec,total_ff_ec,total_heating_ec,total_cooling_ec
0,0.03395717160892484,0.026131478204003876,0.007825693404920966,0.03395717160892484,0.0
1,0.0342490587466552,0.026356097688378873,0.00789296105827633,0.0342490587466552,0.0
2,0.03464549199862073,0.026661169824609345,0.00798432217401138,0.03464549199862073,0.0
3,0.03494013177023131,0.02688790757705075,0.008052224193180562,0.03494013177023131,0.0
4,0.03539469417296155,0.027237712550683562,0.008156981622277988,0.03539469417296155,0.0
5,0.036112483937139825,0.027790082099999967,0.008322401837139858,0.036112483937139825,0.0
6,0.03661605401758071,0.028177600552148407,0.008438453465432302,0.03661605401758071,0.0
7,0.036730747095923354,0.028265861721582,0.008464885374341353,0.036730747095923354,0.0
8,0.03697260106488966,0.02845197856874997,0.008520622496139687,0.03697260106488966,0.0
9,0.03738900440579013,0.028772418532128873,0.008616585873661254,0.03738900440579013,0.0
10,0.037891225155897566,0.029158898617578092,0.008732326538319476,0.037891225155897566,0.0
11,0.03838270523655081,0.029537113304101532,0.008845591932449274,0.03838270523655081,0.0
12,0.038975708931492284,0.029993454701074188,0.008982254230418095,0.038975708931492284,0.0
13,0.0393405138804419,0.030274187521874968,0.009066326358566933,0.0393405138804419,0.0
14,0.03747633306497056,0.028839621624902313,0.00863671144006824,0.03747633306497056,0.0
15,0.033417277555907676,0.025716006920312468,0.007701270635595209,0.033417277555907676,0.0
16,0.029778187619825564,0.022915573467187467,0.006862614152638094,0.029778187619825564,0.0
17,0.026515237007493985,0.020404595115136686,0.0061106418923573,0.026515237007493985,0.0
18,0.023886741517947254,0.018381856785058562,0.005504884732888692,0.023886741517947254,0.0
19,0.02229383007271126,0.017156044129296843,0.00513778594341442,0.02229383007271126,0.0
20,0.02165322200360592,0.01666306915517575,0.004990152848430171,0.02165322200360592,0.0
21,0.021989151283419862,0.01692158092861325,0.005067570354806611,0.021989151283419862,0.0
22,0.023523447818971095,0.018102286934960906,0.0054211608840101875,0.023523447818971095,0.0
23,0.025364096313427197,0.019518743716699188,0.005845352596728009,0.025364096313427197,0.0
24,0.02666776530838637,0.020521972086816376,0.006145793221569995,0.02666776530838637,0.0
25,0.02737740511735065,0.021068069901269502,0.0063093352160811505,0.02737740511735065,0.0
26,0.027758509976728254,0.021361346191796842,0.006397163784931414,0.027758509976728254,0.0
27,0.027947632116263613,0.021506883668359345,0.006440748447904268,0.027947632116263613,0.0
28,0.027941587116369786,0.021502231785546843,0.0064393553308229445,0.027941587116369786,0.0
29,0.027909958813353886,0.021477892470117155,0.006432066343236732,0.027909958813353886,0.0
30,0.028019146623936085,0.021561917103417937,0.006457229520518147,0.028019146623936085,0.0
31,0.028267855190996276,0.021753308853417936,0.006514546337578339,0.028267855190996276,0.0
32,0.028533997105964548,0.021958116301171844,0.006575880804792706,0.028533997105964548,0.0
33,0.028713619959952467,0.022096343676171845,0.006617276283780623,0.028713619959952467,0.0
34,0.028693380004950822,0.022080768175683562,0.006612611829267262,0.028693380004950822,0.0
35,0.026923976152100505,0.020719137155664032,0.006204838996436473,0.026923976152100505,0.0
36,0.026139313576596802,0.020115306152734345,0.006024007423862457,0.026139313576596802,0.0
37,0.02627489428850114,0.020219641238671843,0.006055253049829297,0.02627489428850114,0.0
38,0.02509352859496523,0.019310530426171844,0.005782998168793386,0.02509352859496523,0.0
39,0.022059316460758892,0.016975575996972626,0.005083740463786266,0.022059316460758892,0.0
40,0.018881643525500907,0.01453022242031247,0.004351421105188436,0.018881643525500907,0.0
41,0.017413032390581673,0.013400064104882781,0.004012968285698891,0.017413032390581673,0.0
42,0.016834007757894662,0.012954480186914032,0.0038795275709806315,0.016834007757894662,0.0
43,0.016644669725505958,0.012808776571679658,0.0038358931538263015,0.016644669725505958,0.0
44,0.0168993153460333,0.01300473713515622,0.0038945782108770802,0.0168993153460333,0.0
45,0.01771328537637938,0.013631121462792937,0.004082163913586445,0.01771328537637938,0.0
46,0.018755022367010626,0.014432782089257782,0.004322240277752843,0.018755022367010626,0.0
47,0.01969507382371361,0.0151561914012695,0.004538882422444111,0.01969507382371361,0.0
48,0.01999651422020475,0.015388162521874969,0.004608351698329783,0.01999651422020475,0.0
49,0.01991620207875823,0.01532635893593747,0.004589843142820762,0.01991620207875823,0.0
50,0.019605262396719655,0.015087077713769501,0.004518184682950153,0.019605262396719655,0.0
51,0.019575954941877274,0.015064524389062469,0.004511430552814805,0.019575954941877274,0.0
52,0.01973101998379653,0.015183853490136687,0.004547166493659842,0.01973101998379653,0.0
53,0.01981915824117702,0.015251679602929656,0.004567478638247363,0.01981915824117702,0.0
54,0.01985332328521979,0.015277971047753875,0.004575352237465917,0.01985332328521979,0.0
55,0.020125564173295227,0.01548747191298825,0.004638092260306977,0.020125564173295227,0.0
56,0.020796721081149716,0.016003955509179657,0.004792765571970061,0.020796721081149716,0.0
57,0.02149378513140631,0.016540375745996063,0.004953409385410248,0.02149378513140631,0.0
58,0.02227877154619004,0.017144455956933563,0.005134315589256478,0.02227877154619004,0.0
59,0.023187248673090466,0.017843567488183564,0.005343681184906902,0.023187248673090466,0.0
60,0.024023401694118346,0.018487022564355436,0.0055363791297629115,0.024023401694118346,0.0
61,0.024649329049195833,0.01896870010878903,0.005680628940406801,0.024649329049195833,0.0
62,0.02473379712806936,0.019033701864160125,0.0057000952639092335,0.02473379712806936,0.0
63,0.02434232941173091,0.018732450917382782,0.005609878494348127,0.02434232941173091,0.0
64,0.02286799711619788,0.017597889927148405,0.005270107189049472,0.02286799711619788,0.0
