period,duoarea,area-name,product,product-name,process,process-name,series,series-description,value,units
2010,SNJ,NJ,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSNJ1,New Jersey Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),1510,MGAL
2010,SNM,NM,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSNM1,New Mexico Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),24,MGAL
2010,SNV,NV,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSNV1,Nevada Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),866,MGAL
2010,SNY,NY,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSNY1,New York Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),41948,MGAL
2010,SOH,OH,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSOH1,Ohio Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),7222,MGAL
2010,SOK,OK,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSOK1,Oklahoma Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),202,MGAL
2010,SOR,OR,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSOR1,Oregon Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),2519,MGAL
2010,SPA,PA,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSPA1,Pennsylvania Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),31189,MGAL
2010,SRI,RI,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSRI1,Rhode Island Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),746,MGAL
2010,SSC,SC,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSSC1,South Carolina Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),5173,MGAL
2010,SSD,SD,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSSD1,South Dakota Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),67,MGAL
2010,STN,TN,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSTN1,Tennessee Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),5369,MGAL
2010,STX,TX,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSTX1,Texas Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),206,MGAL
2010,SUT,UT,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSUT1,Utah Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),20,MGAL
2010,SVA,VA,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSVA1,Virginia Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),13923,MGAL
2010,SVT,VT,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSVT1,Vermont Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),6297,MGAL
2010,SWA,WA,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSWA1,Washington Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),892,MGAL
2010,SWI,WI,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSWI1,Wisconsin Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),1119,MGAL
2010,SWV,WV,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSWV1,West Virginia Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),2833,MGAL
2010,SWY,WY,EPPK,Kerosene,VAR,Adj Sales/Deliveries to Residential Consumers,KDRVARSWY1,Wyoming Kerosene Adj Sales/Deliveries to Residential Consumers (Thousand Gallons),5,MGAL
